Tweet,Label
" ramizdesica senin bir filmi beğenmemen o filmin kötü olduğu anlamına gelmez. Senin güzel bulduğuna ben kötü diyebilirim, benim güzel bulduğuma da sen kötü diyebilirsin. Göreceli şeyler bunlar. Fakat bir de genellemeler vardır. Mesela Türkiyeyi geçtim dünyadaki izleyicilerin oylarıyla yapılan bir sıralamada birinci olan bir filmden bahsediyoruz. O yüzden tabi ki sinema tarihinin en iyi filmi diyeceğiz bu filme. Sonuçta senin beğenilerine göre oluşturulmuyor sıralamalar. Sen bu durumda azınlıkta kalıyorsun. Dünya üzerinde filmi izleyen insanların çok büyük bir çoğunluğu filmi beğendiyse, yeni izleyecek olan biri de büyük olasılıkla beğenecektir. Bu yüzden insanları bırak da izleyip kendileri karar versinler. ",Pozitif
Buna karşın eğitim anlamında askeri kariyer yapmayı tercih etmedi ve cepheye dönmeyi tercih etti .,Nötr
"benim telefonumda şifre yok.neden yok?çünkü özelim yok,okunmasından korktuğum mesajım yok,mesajımda yok zaten arada turkcell atıyor okadar",Nötr
senin de bebeğin ölür inşallaaaaah,Negatif
"ürün çok şık, modern görünümlü, kurulumu çok kolay.tavsiye ederim.",Pozitif
2 kutu kullandım ben de.tadı güzel.hastanede de hemen bu çaydan veriyolar zaten.ama mucize beklemeyin.o kadar şakr şakır arttıracak kadar değil.,Negatif
Uzman bir dolandırıcı yakışıklı çapkın bir adamdır .,Nötr
Ansızın gelişen işitme kaybı olabilir .,Nötr
John Frederick ile evlenmiştir .,Nötr
Onlar konuşurken paket içindeki telefon çalmaya başlar .,Nötr
adamlar bize bildiğin mobilya kurdurdu kurmamız 1-1.5 saat sürdü allahtan dayımın matkapı vardıda yardım etti sağ olsun parçalar kalitesiz suntadan mdf bile değil çekmece bölmesinin üstünde destek yok kitaplarımı sıkıştırdım destek niyetine hemde güzel göründü gerçekten çok kalitesiz ve resimde durduğu gibide olmuyor kalite ve ucuzluk  birarada çok zorr onu öğrendim ucuz diye atlamayın benim gibi olmayın :d,Negatif
 artık iyice gazı kaçtı filmin bence belli ki 6 da geliyor..belki de yine bi sonuca bağlayamayınca 7-8...devam eder bu böyle dizi hesabı..önüne bi de rtük uyarı-bilgilendirme logosu koyarlar korku ve şiddet içerir  13 yaş falan gibi...bırakın5i 4 ün bile çekilmesini tercih etmezdim..dedim ya gazı kaçtı.hiç keyif almadım ,Negatif
kesinlikle tavsiye ederim. tereddüt etmeden gözünüz kapalı alın.,Pozitif
Yarışı birinci olarak tamamladı .,Nötr
Sıradan Milletvekili Adayı olarak seçim çalışmalarına katıldı .,Nötr
çok sıkıcı hatta ayşe kulin in en sıkıcı kitabını okudum diyebilirim nerde o olayların birbirinin içinden geçtiği akıcı kitapları nerde bu bence bidaha böyle bi kitap roman yazacaksa hiç zahmet etmesin ,Negatif
Tur seçimlerin sonuçları;,Nötr
ürün çok kısa sürede elime ulaştı. orjinal kutusunda geldi gelir gelmez denedim hiç bi sıkıntı olmadı telefonun yanındaki şarj aletiyle birebir aynı hatta daha kaliteli duruyor ayrıca samsung türkiye garantili. bu fiyata bence harika teşekkürler,Pozitif
 niye tutulan filmlerin 2.si çekilir berbat etmek için anlamıyorum kesinlikle çok kötü ,Negatif
berbathamam böceklerinin cirit attığı odalar hijyen anlayışından yoksun bir mutfak bir tabakta  kişiye servis açan bir hizmet kalitesi anlayışı üzerine her şey dahil hizmet sunan oteller gibi yüksek fiyatlar istiyorlar mazı nın güzelliğine gölge düşürüyorlar,Negatif
ürün elimize ulaştı ulaştığında üstünde çizikler vardı. lensleri çok kötü bulanık gözüküyor ve lens ayarı olmuyordu. tek gözle bakılırsa ancak net görüntü oluyor. telefonumuza uyumlu olduğu halde sabitlenmedi ayrıca telefonun arka kapağını çok çiziyor arka bant olmadan kullanmanızı tavsiye etmem telefonumun arkası berbat bir hale geldi. burun kısmı çok acıtıyor uzun süreli kullanım için uygun değil. kumanda idare ederdi ama hiç bir şekilde verim alamadığımız için geri gönderdik iadesini bekliyoruz beklentiniz çok yükseklerde olmasın yorumlardan aldanıp aldık bizde.,Negatif
"yaklaşık 5 yıldır kullanıyorum. özellikle kış ayları için çok ideal bir parfüm, kokusu biraz ağır olduğu için  haziran - ekim aralığında  kullanmanızı tavsiye etmem.oldukça kalıcı bir kokusu var. bazı arkadaşlar kalıcılığı hakkında olumsuz görüş belirtmiş, parfüm ve ten oyumu çok önemlidir. eğer parfümünüz teninizle oyum sağlamıyorsa kalıcı olması söz konusu olamaz.",Pozitif
Turizm bölge ekonomisi açısından büyük önem taşımaktadır .,Nötr
 anlatılmaz yasanır kelımesı tam gercek anlamıyla herhalde bu film için kullanılır yorum yazılmaz izlenır beyler 10/100 ,Pozitif
Kazananlar kalın punto ve farklı renkle ilk sırada gösterilmiştir .,Nötr
Her şeyinden memnun kaldık. Antalya yakınlığı iyiydi. Bir tek transfer ücreti fazlaydı.  ,Pozitif
çok şık zengin duruşu var kullanışlı ve az yer kaplaması da ayrı bir güzel,Pozitif
 bence hiç hoş bi film deildi. senaryo berbattı ve çok basitti. asla tavsiye etmem ,Negatif
"daha önce bvlgari ve paco rabanne marka parfümleri kullanmış biri olarak bu parfüm benim için ilk sırayı aldı. en güzel özelliği kalıcılığı ve kokunun bütün notalarını algılayabiliyorsunuz. 8-18:00 mesai saatleri içinde çalışan biri olarak eve geldiğimde hala kokuyu hissedebiliyorum. kokusu ilk başlarta baharatımsı , son notalarda ise şekerimsi hale geliyor gerçekten çok farklı bir parfüm. 150 ml olmasıda ayrıca bir avantaj...",Pozitif
Damak yarığı saptanır .,Nötr
kullanıdığım süre zarfında bir akma sorunu yaşamadım. ,Pozitif
Halen bu takımda kariyerini devam ettirmektedir .,Nötr
ürünü sipariş verdim. ayın 20 si itibariyle temin edilecektir şeklinde bir not vardı. vaktimiz bol olduğundan bekleriz dedik ve siparişi verdik. ayın 18 inde kargoya verildiğini kargo takip ten görünce helal olsun dedim. üstelik kargo ücretsiz olduğu halde sağlam şekilde elimize ulaştı. ürünü çok beğendik. cidden tavsiye ederim,Pozitif
Emekli olduktan sonra müzik öğretmeni olarak çalışmaya devam etmiştir .,Nötr
 de niro ve scorsesenin en kötü filmi 2/10 ,Negatif
Böylece bir temanın farklı çeşitlerinin ortaya çıkmasına sebep oldu .,Nötr
ürünü annem için aldım daha önce yine ünlü bir markanın benzer bir ütüsünü kullanıyordu ilk başta şüphe ile yaklaştı ama kullanınca ütüye o da tam not verdi emekli bir öğretmenin değerlendirmesi herhalde gözardı edilmez. biz memnun kaldık alabileceğimiz en iyi ürünü yine en ucuza burada bulmaksa site kalitesini bir kere daha gösterdi. düşünmeden alın bence,Pozitif
 scar face tadinda muhtesem oyuncular.inanilmaz bir film kesinlikle arsivlik.10_10 ,Pozitif
harika bir ürün harika bir fiyat kısa sürede elime ulaştı.,Pozitif
Romalılar burada dehşet bir savunma yapmaktadırlar .,Nötr
 nerede o eski hababmlar:( olmamış olmazda... ,Negatif
hızlı kargo.hesaplı satış için teşekkürler.bu fiyata bu performans harika.özellikleri ihtiyacımı fazlasıyla karşılıyor.i̇nşallah kullanım ömrü de uzun olur.,Pozitif
 berbat bi film :(James Cameron gel kurtar şu filmii :( ,Negatif
kargo 3 günde elime geldi (haftasonuna denk gelmiştim) ve kablo sıkıntı çıkartmadı gayette iyi iş yapıyor. güvenebilirsiniz,Pozitif
özellik aramıyorsanız amaç sadece konuşmaksa bu telefon fena değil şarjı yeterli buda bana yeter diyenler için uygun bence görüntü olarak biraz kba yinede alınabilir,Negatif
Avustralya Açık şampiyonluğuna ulaşmıştır .,Nötr
İki kez alan tek futbolcudur .,Nötr
@uleatak2 @emreatabaycom turkcell muzikten indirildi bile :) sarki super sound cok saglam,Pozitif
Okuldan ayrıldıktan sonra müzisyen olarak çalışmaya başlamıştır .,Nötr
herkese tavsiye edeceğim bir ürün.,Pozitif
 arkadaşlar bakın şimdi güzel film var normal film var kötü film var çok kötü film var çok çok çok çok kötü film var bir de pathology var 100/1 ,Negatif
hem urun hemde hepsiburada nin hizmeti basarili,Pozitif
"hem çok uygun, hem de beklenilen fonksiyona sahip. elime çok hızlı ulaştı ve keyifle kullanıyorum. dayanıklı bir ürün. herkese tavsiye ederim.",Pozitif
bu ürünü almayı düşünen arkadaşlar benim gibi zaman kaybı yaşamasınlar teretütden dolayı birkaç gün fazladan bel ağrısı ile yaşadım şimdi bel ağrısı neymiş unuttum bile bi tanede anneme sipariş verdim ama dikkat bazalar standart ölcüsü 150x200 sağlıklı günler sizlerede benim gibi.,Pozitif
Dönem Isparta Milletvekilliği ile Ekonomi ve Ticaret Bakanlığı yaptı .,Nötr
ürün gerçekten çok iyi yeni başlayanlar için düşük kilodan başlamalarında fayda var.önemli olan bar demir tabiki.sağlam bir bar edinmeniz lazım.elinize oturacak ve kaymayacak.,Pozitif
"2 gündür %72 ye düştü, pil seviyesi..",Pozitif
" guzel degildi.cok cok basıt bı fılmdı..bence biz turk sıneması olarak muthıs fılmler yapabılırız,hadı gayret diyorum. ",Negatif
Şirketin yaklaşımının merkezi güçlendirilmiş bir aracın otonomi için optimize edilmediği gerçeğine odaklanıyor .,Nötr
ürün az önce geldi ve paketi hemen açtım. beklediğimden daha kaliteli olduğunu söyleyebilirim. eğer lastiklerinden tavana asıp salıncak yapmazsanız kolay kolay kopacağını düşünmüyorum. ancak paket içerisindeki kullanma kılavuzunda türkçe yok. onun haricinde son derece güzel. ,Pozitif
 hayatımda bu kadar saçma sapan bir film görmedim verdiğim paraya yazık ne korku filmi bu komedi filmi hele sonundaki o zombilerin elele tutuşması falan yokmu:) ,Negatif
fiyat/performans olarak güzel bilgisayar. tek kötü yanı 256 gb ssd yanında harddiski olmaması. bu kadar depolama alanı bana yeter diyorsanız bu pc yi öneririm. kasası ve tuş takımı çok sağlam hissi vermedi. tuşları yerinden çıkacak gibi duruyor.,Pozitif
ürün bu gün elime geçti sabah beri gaz basıyorum ses yok çok azzz duyulmnuyo 1.4 70s uno da denedim galiba bizim aracın değişim zamanı gelmiş.:),Negatif
fiyatına göre güzel kullanışlı ve pratik bir ürün almak isteyenlere tavsiye ederim,Pozitif
 Alanında tüm zamanların yapılmış en iyi filmi. ,Pozitif
ürün elimize dun gecti.. okadar cok arastırmıstıkkiii simdi iyikide arastırıp bunu almisiz dedik esimlee. bu fiyata mukemmel otesi bir urun,Pozitif
yapan mühendis bunla hiç çay demlememiş)),Negatif
 verdiği mesajlar süper 10/9 ,Pozitif
Barak sıradan bir köpek olmayıp kutlu sayılır .,Nötr
bir ay olmadan bozuldu,Negatif
zaman a hakaret otelden genel olarak gayet memnun kalmıştık hatta tekrar da düşünüyorduk fakat otelde zaman yoksa hele hele bir de hakaret var ise ben ve ailem de artık o otelde yokuz,Negatif
O tarihte Buhara Hanlığı Rus İmparatorluğuna bağlı bir vasal prenslik durumundaydı .,Nötr
"Sahanın ortasında oyunun başlatıldığı ""orta daire"" bulunur .",Nötr
Eeeh...Sponsoru da dikkatlı seceçeksin Ensar sponsoru Turkcell'in 2016 kârı yüzde 27 düştü @cumhuriyetgzt,Negatif
 Uzun zamandır film izlerken böyle keyif almamıştım. Kaçırılmaması gereken bir film. Özellikle de ailenizle izleyecekseniz. ,Pozitif
bi turkcell değilsin be 100mbit kyk wifi.,Pozitif
" tabii ki çok kötü yani, bu konuda şüphesi olan war mı ki ? 10 üzerinden değil 100 hatta 1000 üzerinden 0 .. ",Negatif
 Beden dediğin nedirki `` RUHUN Kafesidir kim takar kafesi şehadet e nail olmak varsa Söyleyin onur yürüyüşü ülke iç ,Pozitif
Ancak direnişçilerin elinde az silah vardı .,Nötr
Çizelge bu bulguları göstermektedir .,Nötr
Sezon var .,Nötr
"Bir plastik film ile kaplı güvenlik için gömülü bir ""hayalet"" fotoğraf bulunmaktadır .",Nötr
Pasifik bölgesinden gelen öğrenciler şehir nüfusunun önemli bir bölümünü oluşturur .,Nötr
Serinin yapısal nitelikleri romanları birbirlerine bağlar .,Nötr
ürün cumartesi günü elime geçti.arabamın tavanında ki bazı lekelere uyguladm.aşırı inatçı ve üzerinden yıllar geçmiş lekeleriçin yeterli olmayabilir.2 defa uygulama gerekebilir.ama normal kirleri anında çıkartıyor.kesinlikle tavsiye ederim.sonax kalitesi neticede..,Pozitif
Menderes hükümetini eleştiren şiirlerinden dolayı mahkemeye verildi .,Nötr
rezalet gece  gün olarak planladığımız gezimiz yönetimin yetersizliği odadaki havlu ve çarşafların pisliği yemeklerin bizim açımızdan yenemez olması sebebiyle   günün başında tur operatörümüzden rica edip otel değiştirmemizle son buldu  benim tavsiyem inova beach e tatil için gitmemeniz saygılarımla,Negatif
gercekten ıkı pılle mukkeml calısıyor,Pozitif
Daire şeklinde gösterilir .,Nötr
Bu yıkımdan sonra şehir yeniden imar edilerek gelişimine devam ettirdi .,Nötr
"beklentimin üzerinde çıktı ürün. dişleri sahiden beyazlatıyor, diş ipi kullanmak zorunda kalmıyorsunuz. harika ürün tavsiye ederm.",Pozitif
sinbonun kaçıncı çaycısı ve ketılı servisten gelmiyo resmen devamlı bozuluyo tabanı oturmaz tuşu basmaz parayı bir kere verin ve saglam bişey alın ve bakalit kokuyo çeligi iyi deyil,Negatif
Aldığım kivi marka çay makinası su akıtıyor muhatap bulamıyorum telefonlar açılmıyor,Negatif
İnsan keşfinin ve bilgisinin geleceğine dair bir vizyon tasvir etti .,Nötr
sıkıntı yok lastikler 3 gunde elime ulasti tereddut etmeden gonul rahatligiyla alinabilir basuna 1 gunumu harcamisim lastikci geze geze arti yakit,Pozitif
 müthiş müthiş müthiş bir film böyle bir son olamaz şimdi 1 yıl daha nasıl bekliycem alıcağın olsun yönetmen :) ,Pozitif
ürün ertesi günü elime geçti.piyasadaki ürünlerin aynısı hiç bir farkı yok.güvenilir olması ilk tercihim.teşekkürler .h.b.,Pozitif
aveanin gözünü sevim ya. vodafon muş turkcell mış beş para etmez. eski hattimi kullanmaya devam.,Negatif
Tamamı sanatçı tarafından yazılan Sezen Aksu şarkılarından biridir .,Nötr
 süper oyunculuklar ve süper bir film....başka söze gerek yok.. ,Pozitif
" Mert Fırat inanilmaz bir oyunculuk sergilemis, film cok basarili ",Pozitif
 volodenkov baban ve annen maymun olmadığı bellide sen ateistmisin o belli değil ,Negatif
 bu filmi izlemeden olsenizde olur. oldukça iyi sayılabilecek bir oykünün bir yonetmen tarafından nasıl katledildiğinin hikayesi aslında. makyajlar güzel ama izlediğim en kotü kurgulu filmlerden. ,Negatif
cenabet olabilir misin ,Negatif
Karakterlerin her birinin kendilerine Unicode tarafından atanan bir kod noktası vardır .,Nötr
 Son yillardaki en kötü ve en sıkıcı animasyon..Zaman kaybı.. ,Negatif
bu fiyata kargocu olsam taşımam. çok güzel.,Pozitif
kaliteli değil başka marka alın ,Negatif
Yapının bir bölümü ciddi hasar almıştır .,Nötr
Topa sahip takım servis ile topu diğer takımın sahasına atarak oyuna başlar .,Nötr
" Gerçekten koyu bir Okan Bayülgen hayranıyım. Ayrıca bir müzisyen olarak da Teoman da aynı şekilde. Fakat olumlu yorum yapan arkadaşların filmi gerçekten izleyip izlemediklerinden bir türlü emin olamıyorum. Hayatımda bu kadar sıkıcı ve gereksiz bir film izlediğimi hatırlamıyorum. Aslında üzerine emek harcanmış bir yapımı bu kadar kötülemek istemem ama, sanırım bu istisnanın sorumlusu ben değilim. Sanırım Sinan Çetin yıllardır Türk filmi hariç hiç film izlememiş. En kısa zamanda kendisine sinema alışkanlığı kazandırmalı. Yoksa altyazılardan kurtulmak yok bize.. ",Negatif
ben 3-4 ay önce bu cihazı hepsi burada dan aldım. elime 2 gün sonra sorunsuz ulaştı.,Pozitif
Başkanımız Recep Bölükbaşı şuanda Hilton'da Turkcell Ceo'sundan forma reklamı sözü alıyor. Hayırlı olsun..,Nötr
ürünü kullandım.elbiselerde çok fazla bi küçültme sözkonusu değil de daha kabarık montlar örgüler yastıklar gibi eşyalarda inanılmaz küçültme sağlıyor.herkese tavsiye ederim,Pozitif
 Bu zamana kadar böyle harika bir filmi nasıl izlememişim diye dövündüm.... Requiem For A Dream yanında alt etmiş...Gerçekten kurgusuyla harika... Edwart Norton u da takdir etmeden geçemeyeceğim.. ,Pozitif
 Kate Hudson ı severim ama bu filmde sıkılmıştım nedense... ,Negatif
elimden düştü ve patladı dayanıklı değil ,Negatif
çok araştırdım en sonunda aldım batarya mukemmel cok yogun kullanmama rağmen iki gun cok cok iyi isinma kasma donma yok gönül rahatlığı ile alın kullanın.,Pozitif
foto çekerken 170 dereceye izin vermiyor,Negatif
Murad türbesine gömüldü .,Nötr
Geribildirim cesaret verici değildi .,Nötr
"hemen anahtarlığa taktım , kaybolma derdine son",Pozitif
ürün kalitesizdi. ayrıca çok geç geldi,Negatif
 Süpernatural serisinde tanıdığımız sevdiğimiz Jensen Ackles oynuyor bide Tarantinonun en sevdiği korku filminin yeni uyarlaması olması sebebiyle baktığım her yönüyle ortalamanın altında kalan kötü bir korku filmi. ,Negatif
 Jenerik berbattı... Güldürecem derken tiksindirmiş resmen. Konu genel olarak pek değişmemiş kuru gürültü çatırtı patırtı bağırış güreşiş değişen birşey yok... Film boyunca kendini yerden yere attı ve oraya buraya dan dun vurdu bira şişeleri devirdi etrafı b*k götürürken bi anda ortalık tertemiz oluverdi vs... vs... Tiyatro bölümü gibi filmin birçok kısmında da daha Recep Beyimiz birşey yapmadan seyirci ne yapacağını tahmin edebiliyordu (yani en azından ben tahmin ediyordum ve çıkıyordu da...) herhangi bir sürpriz yoktu... 1. Film gerçekten çok hoştu(2. ve 3. filme nazaran) ama devamları için aynı şeyi söylemek imkansız Sadece extra olarak geçen filmdeki Starbucksdaki kız eklenmiş. Tek bir oyuncuyla mizah yapmak istiyorsan Stand Up Show yap veya Dikkat Şahan Çıkabilire devam et dedirtti bana bilmiyorum ama bu kadar az oyuncuyla ne kadar komedi yapabilir belliydi aslında... Arkadaşlarınızla sırf makara olsun diye gideceksiniz gidilebilecek bir film ama bence tam bir vakit kaybı... 4/10 uygundur fazla bile ya... ,Negatif
Böylelikle sanal dünya bir milyoner çıkarmış oldu .,Nötr
"telefon si̇pari̇şi̇ni̇ çarşamba günü saat 13,30 da verdi̇m ertesi̇ gün eli̇me geçti̇. çok teşekkür ederi̇m.",Pozitif
sipariş sürecinde bazı sıkıntılar yaşadım (ürün stokta kalmamış v.b)ama hepsiburada çalışanlarının ilgi ve çözüm anlayışından dolayı gerçekten çok menun kaldım bu nedenle hepsine teşekkür ederim. ürün kullanışlı eşim mşuan memnun.,Pozitif
"Turkcell kurumsal musteri temsilcisinin babamla imtihani, adam geldigine gelecegine pisman oldu",Negatif
Korkuluk duvarları olan köprüyü yayalar kullanmaktadır .,Nötr
Fonda yeşil bir kapı ve turuncu tuğla duvar vardır .,Nötr
Bari Serie B ligine düştü .,Nötr
" evet arkadaşım iki puan çok fazla olmuş.çünkü direk sıfır.bırak neden ingilizce konuşmanın yasak olduğunu anlamayı,radyo spikeri abuk subuk konuşmaya başlayınca kadında anlamadı ne olduğunu.içinden kesin kariyerim bitti diyodur.. ",Negatif
Bu sezon ilk kez Türkiye Kupası şampiyonluğu da yaşadı .,Nötr
 boş bir film... serinin önce ki filmleri gibi ama bu film de bonus olarak m.ali erbil var tabii... bu filme daha da ayrı bi hava katmıs belli ki ,Negatif
Cok teSekkUr ederim turkcell 7 gb hediye internet iCin |01 |01,Pozitif
" ....... evliliklerini kurtarmak amaciyla yoğun çiftler terapisinde uzmanlaşmış Güney Pasifik'teki tropik ada cenneti Eden Resort'u keşfeden bir ciftin, grup indiriminden faydalanmak icin 8 kisilik arkadas grubuyla gittikleri bu tatilde iliskilerini duzeltmeyi izlerken, Amerikan filmlerinin iyi ornekleri verebildigi bu tip komedilerin yanina bile yaklasmasini birakin, komedi filmi oldugunu tamamiyle unutup sıkıcı bir seyirlige donusuyor 'Couples Retreat'. Favreau ve Vaughnun senaryosu en ufak bir parilti bile tasimadigi gibi, dumduz bir cizgide ilerleyip en basindan belli oldugu gibi 'yok daha neler!' dedirtecek cinsten bir mutlu sonla noktalaniyor. Yer yer kaba bir espri anlayisina sirtini dayayan filmin bu noktalarda bile guldurdugu soylemek mumkun degil. Ne Favreau ne Vaughn ne de diger oyuncular hic ama hic sempatik olamadiklarindan ve dogru duzgun bir karaktere bile donusemediklerinden dolayi seyiri daha da zorlastirdiklari da bir gercek. Bir de bu yasinda eski halinden eser kalmayan Jean Renoya daracik mayoyu giydirip gozumuze sokmalarina ne gerek vardi ki !!!... (2/10) ",Negatif
 fragmanını izledim.film izlenirse sadece cem davran sayesinde izlenir bence.. ,Negatif
yine bi turkcell bayisinde çalışanın anlattiklari anlamadim cunku ezbere konusuyor,Negatif
 gerçekten sonuna kadar gidebildiğim için kendimi tebrik ediyorum.konu sıkıcı.senaryo vasat.oyunculuk kötü.2/10 anca bu kadar eder. ,Negatif
Camlihemsin'de turkcell full cekiyor arkadaslar test ettim,Pozitif
fotokopi makinasında sıkışmıyor piyasaya göre güzel birde kargo bedava olsa,Pozitif
vodafone ve samsung mesela cok uyumlu ama 128 gb gold iphone 6s plus'im turkcell istiyor :(,Pozitif
Ben Ayı Yogi!,Nötr
bu ürünü alalı daha 6 ay almadan evin sigortalarını attırdı. servise götürdüm bir sürü iş. şimdide o kadar çok ses çıkarıyor ki anlatamam. çelik ürün alacaksanız başkalarını da inceleyin derim. bu ürünü de tavisye etmiyorum.,Negatif
"ürün hızlı geldi, kalitesi yeterli ama içinden pompası çıkmıyor, bilginize",Pozitif
"olumsuz bir kaç yanı da var bence. birincisi, kamerası. fiyatına göre iyi diyenler olabilir belki ama, ama ışıklı ortamlarda bile kumlu çekim yapıyor, yine de 10 üzerinden 6 kalitesinde bence. i̇kincisi ise, telefonda bir başlatıcı (launcher) ve uygulama çekmecesi olmaması. tüm programlar yüklendikten sonra ana ve yan ekranlara yükleniyor, çok app olduğunda bulmak zor olabiliyor, ancak klasör oluşturmayı desteklediğini söylemeliyim. kişiselleştirme imkanı oldukça kısıtlı. ancak nova veya go launcher gibi bir başlatıcı kurulması durumunda daha iyi bir deneyim sunuyor, ama bunun da pil ömrüne olumsuz etkisi var. üçüncü olarak, telefon şu anda bir türlü root'lanamıyor. eğer bunu düşünüyorsanız, hayal kırıklığına uğrayabilirsiniz. son olarak, ana ekranın altındaki kapasitif menü tuşlarının arka plan aydınlatması yok, karanlıkta kullanım biraz alışmayı gerektiriyor. unutmadan bir de uyarı led'i yanıp sönmüyor, bildirim durumunda yalnızca yanık kalıyor ve özelleştirme yapılamıyor.",Pozitif
"Viski içerek erkek terörünü kınayan Bülent Parlak eşinin tektaş yüzüğünü sattırıp viskisinin yanına ""bitter çikolata"" alıyor...Çakma solcular sizi.",Negatif
"her yazısı bilgi, her cümlesi dolu olan soner yalçın klasiği. genel kültür, tarih ve siyaset. ",Pozitif
Turkcell i kinayan fettoşilere inat bizde Turkcell i tebrik ediyoruz @Turkcell ?????????? Gömülü resim için kalıcı bağlantı,Pozitif
fiyatına göre iyi sayılabilir. çok kaliteli bir şeyler arıyorsanız daha fazla ödeyip başka koltuk bakmalısınız. bu fiyata bu koltuk alınabilir.,Negatif
berbatttt sinirrr susuzlukkarkadaslar lütfen dikkate alinsin eger bu oteli dusunuyorsaniz iptal edin berbat acve susuz kalacaksiniz denizi cakilli berbattttberbattt cakilli duzen temizlik sifirrrrr allah kahretsin oranin mudurunu,Negatif
8aylık kızım bayılarak biniyor kendi kendine üzerine binerek sürmeyi öğrendi.şimdi yürüteç kısmına geçmeyi bekliyoruz ama çoçuklar bayılıyor 10 tane oyuncak yerıne gecicek bir oyuncak,Pozitif
Gerçektende Turkcell'in çekim gücünü özlemişim adamsın turkcell,Pozitif
fiyatına göre gayet iyi ve kullanışlı bir ürün,Pozitif
Daha sonra şarkıya tekrar klip çekilmiştir .,Nötr
Kanguru Yayınları Genel Yayın Yönetmeni .,Nötr
